iter	Passed	Remaining
727	9394	3510
728	9399	3494
729	9404	3478
730	9409	3462
731	9416	3447
732	9425	3433
733	9430	3417
734	9435	3401
735	9440	3386
736	9445	3370
737	9453	3356
738	9458	3340
739	9465	3325
740	9471	3310
741	9476	3295
742	9482	3279
743	9486	3264
744	9491	3248
745	9495	3233
746	9501	3217
747	9506	3202
748	9514	3188
749	9518	3172
750	9524	3158
751	9530	3142
752	9534	3127
753	9540	3112
754	9547	3098
755	9557	3084
756	9568	3071
757	9580	3058
758	9585	3043
759	9590	3028
760	9596	3013
761	9602	2999
762	9609	2984
763	9617	2970
764	9629	2958
765	9638	2944
766	9654	2932
767	9662	2918
768	9672	2905
769	9682	2892
770	9690	2878
771	9700	2864
772	9710	2851
773	9726	2840
774	9739	2827
775	9746	2813
776	9751	2798
777	9766	2786
778	9770	2771
779	9780	2758
780	9785	2743
781	9793	2730
782	9808	2718
783	9819	2705
784	9822	2690
785	9838	2678
786	9854	2667
787	9860	2652
788	9868	2639
789	9873	2624
790	9883	2611
791	9890	2597
792	9896	2583
793	9907	2570
794	9925	2559
795	9932	2545
796	9943	2532
797	9949	2518
798	9960	2505
799	9966	2491
800	9976	2478
801	9987	2465
802	9996	2452
803	10009	2440
804	10013	2425
805	10022	2412
806	10027	2398
807	10032	2384
808	10039	2370
809	10050	2357
810	10054	2343
811	10058	2328
812	10062	2314
813	10068	2300
814	10080	2288
815	10086	2274
816	10090	2260
817	10099	2246
818	10103	2232
819	10108	2218
820	10113	2204
821	10117	2190
822	10122	2176
823	10128	2163
824	10132	2149
825	10144	2136
826	10151	2123
827	10156	2109
828	10163	2096
829	10168	2082
830	10175	2069
831	10190	2057
832	10201	2045
833	10205	2031
834	10210	2017
835	10217	2004
836	10221	1990
837	10229	1977
838	10240	1965
839	10249	1952
840	10261	1939
841	10272	1927
842	10280	1914
843	10284	1900
844	10288	1887
845	10291	1873
846	10295	1859
847	10299	1846
848	10303	1832
849	10307	1818
850	10311	1805
851	10314	1791
852	10319	1778
853	10323	1764
854	10327	1751
855	10330	1737
856	10334	1724
857	10338	1711
858	10342	1697
859	10345	1684
860	10349	1670
861	10353	1657
862	10357	1644
863	10361	1630
864	10365	1617
865	10369	1604
866	10373	1591
867	10377	1578
868	10381	1565
869	10385	1551
870	10389	1538
871	10393	1525
872	10397	1512
873	10401	1499
874	10405	1486
875	10409	1473
876	10413	1460
877	10417	1447
878	10420	1434
879	10425	1421
880	10429	1408
881	10433	1395
882	10437	1382
883	10441	1370
884	10445	1357
885	10449	1344
886	10453	1331
887	10457	1318
888	10461	1306
889	10465	1293
890	10469	1280
891	10476	1268
892	10480	1255
893	10484	1243
894	10488	1230
895	10492	1217
896	10496	1205
897	10500	1192
898	10504	1180
899	10508	1167
900	10511	1155
901	10515	1142
902	10519	1130
903	10523	1117
904	10527	1105
905	10530	1092
906	10534	1080
907	10538	1067
908	10542	1055
909	10546	1043
910	10550	1030
911	10553	1018
912	10557	1006
913	10561	993
914	10565	981
915	10569	969
916	10572	956
917	10576	944
918	10580	932
919	10584	920
920	10588	908
921	10592	896
922	10596	883
923	10599	871
924	10603	859
925	10607	847
926	10611	835
927	10615	823
928	10619	811
929	10622	799
930	10626	787
931	10630	775
932	10634	763
933	10637	751
934	10641	739
935	10645	727
936	10649	716
937	10652	704
938	10656	692
939	10660	680
940	10664	668
941	10668	656
942	10671	645
943	10675	633
944	10679	621
945	10682	609
946	10686	598
947	10690	586
948	10694	574
949	10698	563
950	10701	551
951	10705	539
952	10709	528
953	10713	516
954	10717	504
955	10721	493
956	10724	481
957	10728	470
958	10732	458
959	10736	447
960	10740	435
961	10744	424
962	10747	412
963	10751	401
964	10755	390
965	10759	378
966	10763	367
967	10767	355
968	10771	344
969	10775	333
970	10782	322
971	10790	310
972	10796	299
973	10801	288
974	10805	277
975	10810	265
976	10814	254
977	10818	243
978	10822	232
979	10826	220
980	10831	209
981	10835	198
982	10838	187
983	10842	176
984	10846	165
985	10852	154
986	10855	142
987	10859	131
988	10863	120
989	10867	109
990	10871	98
991	10875	87
992	10879	76
993	10882	65
994	10886	54
995	10890	43
996	10894	32
997	10898	21
998	10901	10
999	10905	0
